well_code,well_name,file_name,profile_file_name,log_date,depth_m,temperature_c,point_index,source_sample_count,sampled_point_count,sample_method,profile_point_role,public_product_role
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,77.72,-8.924,27,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,79.86,-8.88,28,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,82.3,-8.822,29,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,84.73,-8.775,30,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,87.17,-8.734,31,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,89.61,-8.683,32,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,92.66,-8.612,33,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,95.1,-8.566,34,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,97.54,-8.523,35,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,99.97,-8.476,36,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,102.41,-8.426,37,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,104.85,-8.376,38,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,106.98,-8.331,39,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,109.42,-8.282,40,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,111.86,-8.233,41,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,114.3,-8.183,42,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,116.74,-8.131,43,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,119.18,-8.084,44,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,121.62,-8.038,45,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,124.05,-7.983,46,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,126.49,-7.924,47,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,128.93,-7.874,48,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,131.06,-7.834,49,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,133.5,-7.782,50,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
