file_name,well_code,well_name,profile_file_name,log_date,sample_count,min_depth_m,max_depth_m,min_temperature_c,max_temperature_c,deepest_temperature_c,deepest_window_gradient_c_per_100m
ETK_89JUL15.txt,ETK,East Teshekpuk Test Well #1,ETK_89JUL15_c_d,15-JUL-1989,863,10.67,213.26,-9.692,-1.638,-1.638,4.879685617457409
ETK_77DEC17.txt,ETK,East Teshekpuk Test Well #1,ETK_77DEC17,17-DEC-1977,156,10.97,712.01,-9.529,19.533,19.533,4.154556023402123
ETK_78SEP17.txt,ETK,East Teshekpuk Test Well #1,ETK_78SEP17,17-SEP-1978,220,12.64,701.49,-9.085,19.103,19.103,4.161935503576623
ETK_03AUG18b.txt,ETK,East Teshepuk,ETK_03AUG18b_c_d,18-AUG-2003,3007,8.04,303.72,-8.996,2.014,2.014,4.36275139611154
FCK_12AUG04.txt,FCK,West Fish Creek,FCK_12AUG04_c_d,04-AUG-2012,1948,7.9,199.43,-7.905,-2.517,-2.517,4.727970288740024
FCK_84AUG07.txt,FCK,West Fish Creek Test Well #1,FCK_84AUG07_c_d,07-AUG-1984,1605,14.02,508.71,-9.945,9.246,9.246,3.519134838117137
FCK_89JUL09.txt,FCK,West Fish Creek Test Well #1,FCK_89JUL09_c_d,09-JUL-1989,2429,13.11,511.15,-9.553,9.049,9.049,3.50491317771957
FCK_77DEC11.txt,FCK,West Fish Creek Test Well #1,FCK_77DEC11,11-DEC-1977,128,23.16,620.57,-7.292,14.683,14.683,3.4338784575004953
FCK_79SEP12.txt,FCK,West Fish Creek Test Well #1,FCK_79SEP12,12-SEP-1979,205,15.24,664.47,-8.808,15.409,15.409,3.6425955197035647
FCK_80SEP12.txt,FCK,West Fish Creek Test Well #1,FCK_80SEP12,12-SEP-1980,208,12.19,664.47,-9.082,15.437,15.437,3.648033553035123
FCK_78SEP16.txt,FCK,West Fish Creek Test Well #1,FCK_78SEP16,16-SEP-1978,206,12.19,661.42,-8.079,15.587,15.587,3.5870241347595493
FCK_08JUL19.txt,FCK,West Fish Creek,FCK_08JUL19_c_d,19-JUL-2008,2545,13.43,249.17,-8.052,-0.444,-0.444,4.672893565851799
FCK_81AUG21.txt,FCK,West Fish Creek Test Well #1,FCK_81AUG21,21-AUG-1981,191,12.19,667.51,-9.181,15.324,15.324,3.6559697120289827
IKP_07AUG03a.txt,IKP,Ikpikpuk,IKP_07AUG03a_c_d,03-AUG-2007,1970,16.68,200.07,-8.118,-3.793,-3.793,3.122619467495284
IKP_84AUG05a.txt,IKP,Ikpikpuk Test Well #1,IKP_84AUG05a_c_d,05-AUG-1984,709,12.8,231.65,-9.969,-2.724,-2.724,2.5176521366992097
IKP_84AUG05b.txt,IKP,Ikpikpuk Test Well #1,IKP_84AUG05b_c_d,05-AUG-1984,1206,233.17,606.55,-2.658,7.972,7.972,2.954998133065429
IKP_12AUG05.txt,IKP,Ikpikpuk,IKP_12AUG05_c_d,05-AUG-2012,1927,6.25,199.4,-8.01,-3.814,-3.814,3.1051237638145635
IKP_89JUL06.txt,IKP,Ikpikpuk Test Well #1,IKP_89JUL06_c_d,06-JUL-1989,2810,12.8,613.46,-9.84,7.715,7.715,2.921314584237471
IKP_80SEP10.txt,IKP,Ikpikpuk Test Well #1,IKP_80SEP10,10-SEP-1980,195,15.24,609.6,-6.433,9.326,9.326,2.7876929649638136
IKP_83AUG20.txt,IKP,Ikpikpuk Test Well #1,IKP_83AUG20,20-AUG-1983,150,18.29,609.6,-8.686,7.957,7.957,2.9106843859935756
IKP_02AUG21a.txt,IKP,Ikpikpuk,IKP_02AUG21a_c_d,21-AUG-2002,4076,8.86,453.31,-8.242,2.899,2.899,2.5234038926818427
IKP_81AUG23.txt,IKP,Ikpikpuk Test Well #1,IKP_81AUG23,23-AUG-1981,195,12.19,609.6,-8.032,8.478,8.478,2.8659096475180226
JWD_80SEP08.txt,JWD,J.W. Dalton Test Well #1,JWD_80SEP08,08-SEP-1980,142,30.48,460.25,-9.397,3.143,3.143,4.401882442214851
JWD_84AUG09.txt,JWD,J.W. Dalton Test Well #1,JWD_84AUG09_c_d,09-AUG-1984,1356,44.2,461.77,-9.958,2.56,2.56,4.538007120960649
JWD_89JUL11.txt,JWD,J.W. Dalton Test Well #1,JWD_89JUL11_c_d,11-JUL-1989,2049,34.44,463.8,-10.123,2.313,2.313,4.475036865211142
JWD_79SEP13.txt,JWD,J.W. Dalton Test Well #1,JWD_79SEP13,13-SEP-1979,137,45.72,460.25,-5.675,6.508,6.508,4.174857382450559
JWD_81AUG26.txt,JWD,J.W. Dalton Test Well #1,JWD_81AUG26,26-AUG-1981,139,30.48,460.25,-9.729,2.693,2.693,4.633132441000674
JWD_83AUG26.txt,JWD,J.W. Dalton Test Well #1,JWD_83AUG26,26-AUG-1983,142,27.43,460.25,-10.025,2.418,2.418,4.475285878522572
JWD_03AUG26.txt,JWD,J.W. Dalton,JWD_03AUG26_c_d,26-AUG-2003,4417,27.56,458.33,-9.99,2.139,2.139,4.52130517856995
KAG_84AUG06.txt,KAG,Kugrua Test Well #1,KAG_84AUG06_c_d,06-AUG-1984,1196,12.8,379.48,-9.186,3.712,3.712,3.636040475532327
KAG_12AUG08.txt,KAG,Kugrua,KAG_12AUG08_c_d,08-AUG-2012,1860,10.08,199.36,-7.575,-2.438,-2.438,4.008891345517935
KAG_78SEP15.txt,KAG,Kugrua Test Well #1,KAG_78SEP15,15-SEP-1978,150,15.24,527.0,-4.98,10.406,10.406,2.768640172408634
KAG_79SEP15.txt,KAG,Kugrua Test Well #1,KAG_79SEP15,15-SEP-1979,157,27.43,527.31,-6.879,8.925,8.925,3.081540858003936
KAG_80SEP16.txt,KAG,Kugrua Test Well #1,KAG_80SEP16,16-SEP-1980,161,12.19,524.26,-7.737,8.72,8.72,3.1503006747674407
KAG_02AUG24.txt,KAG,Kugrua,KAG_02AUG24_c_d,24-AUG-2002,3374,10.49,398.58,-8.084,4.291,4.291,3.893018264242069
KAG_83AUG25.txt,KAG,Kugrua Test Well #1,KAG_83AUG25,25-AUG-1983,164,21.34,521.21,-8.214,8.214,8.214,3.1216998963978995
KAG_08JUL25.txt,KAG,Kugrua,KAG_08JUL25_c_d,25-JUL-2008,2020,8.96,199.38,-7.771,-2.548,-2.548,4.022884551198536
KAG_89JUL26.txt,KAG,Kugrua Test Well #1,KAG_89JUL26_c_d,26-JUL-1989,826,12.19,184.3,-8.839,-2.795,-2.795,4.078288154467727
KAG_81AUG29.txt,KAG,Kugrua Test Well #1,KAG_81AUG29,29-AUG-1981,159,12.19,521.21,-8.091,8.225,8.225,2.9569698882996187
KOL_12AUG03.txt,KOL,Koluktak,KOL_12AUG03_c_d,03-AUG-2012,2006,4.98,199.58,-6.391,-2.253,-2.588,3.220288091804979
KOL_83SEP07.txt,KOL,Koluktak Test Well #1,KOL_83SEP07,07-SEP-1983,66,21.34,219.46,-7.406,-1.987,-1.987,3.058306197658458
KOL_02AUG12.txt,KOL,Koluktak,KOL_02AUG12_c_d,12-AUG-2002,2233,10.86,226.94,-6.741,-1.954,-1.954,3.0140370027838497
KOL_07JUL22.txt,KOL,Koluktak,KOL_07JUL22_c_d,22-JUL-2007,2227,3.99,198.78,-6.608,-2.686,-2.686,3.237447420108872
KOL_81AUG23.txt,KOL,Koluktak Test Well #1,KOL_81AUG23,23-AUG-1981,65,18.29,213.36,-6.716,-1.575,-1.575,2.9665082047647826
KOL_89JUL29.txt,KOL,Koluktak Test Well #1,KOL_89JUL29_c_d,29-JUL-1989,988,14.12,221.99,-7.24,-1.979,-1.979,3.0634290573113754
KOL_84JUL30.txt,KOL,Koluktak Test Well #1,KOL_84JUL30_c_d,30-JUL-1984,678,14.02,221.89,-7.499,-1.931,-1.931,3.0475119699565867
KUY_84AUG02.txt,KUY,Kuyanak Test Well #1,KUY_84AUG02_c_d,02-AUG-1984,2613,15.54,819.91,-8.874,20.419,20.419,4.557291906752193
KUY_12AUG05.txt,KUY,Kuyanak,KUY_12AUG05_c_d,05-AUG-2012,1843,7.25,199.67,-8.394,-4.757,-4.757,2.867337720042849
KUY_07AUG11.txt,KUY,Kuyanak,KUY_07AUG11_c_d,11-AUG-2007,2121,6.98,201.24,-8.528,-4.714,-4.714,2.8974173751925387
KUY_83AUG21.txt,KUY,Kuyanak Test Well #1,KUY_83AUG21,21-AUG-1983,269,21.34,838.2,-8.606,21.694,21.694,4.519730213243619
KUY_81AUG25.txt,KUY,Kuyanak Test Well #1,KUY_81AUG25,25-AUG-1981,231,15.24,716.28,-7.326,16.471,16.471,4.22330782645105
KUY_02AUG25.txt,KUY,Kuyanak Test Well #1,KUY_02AUG25_c_d,25-AUG-2002,3734,10.63,428.49,-8.671,3.516,3.516,3.5208407054548823
