object_id,permit_number,api_number,well_name,temperature_model_id,temperature_model_depth_role,depth_m,temperature_model_c,temperature_model_method,temperature_extrapolated_below_profile,temperature_extrapolation_below_profile_m,temperature_model_status,temperature_profile_code,temperature_profile_file,temperature_profile_max_depth_m,temperature_gradient_c_per_100m,temperature_gradient_source,temperature_profile_link_method,stability_input_readiness,temperature_model_product_role,stability_top_base_thickness_status
8945,1002010,50279200050000,E SIMPSON TEST WELL 1,g10015_profile_interpolation_v1,nearest_permafrost_control,370.0,0.1785714285714297,measured_profile_interpolated,False,0.0,calculated,ESN,ESN_89JUL23.txt,580.95,4.255434391578859,deepest_window_g10015_inventory,matched_nearest_ggd223_code,ready_for_phase_curve_inputs,temperature_input_only_not_stability_result,not_calculated
8945,1002010,50279200050000,E SIMPSON TEST WELL 1,g10015_profile_interpolation_v1,depth_basis,2358.8472,84.16624889571757,measured_profile_plus_gradient_extrapolation,True,1777.8972,calculated,ESN,ESN_89JUL23.txt,580.95,4.255434391578859,deepest_window_g10015_inventory,matched_nearest_ggd223_code,ready_for_phase_curve_inputs,temperature_input_only_not_stability_result,not_calculated
233,1700460,50029200800000,PRUDHOE BAY UNIT F-01,g10015_profile_interpolation_v1,nearest_permafrost_control,637.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
233,1700460,50029200800000,PRUDHOE BAY UNIT F-01,g10015_profile_interpolation_v1,depth_basis,2815.1328000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
234,2061010,50029200800100,PRUDHOE BAY UNIT F-01A,g10015_profile_interpolation_v1,nearest_permafrost_control,637.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
234,2061010,50029200800100,PRUDHOE BAY UNIT F-01A,g10015_profile_interpolation_v1,depth_basis,2757.2208,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
235,2130640,50029200800200,PRUDHOE BAY UNIT F-01B,g10015_profile_interpolation_v1,nearest_permafrost_control,637.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
235,2130640,50029200800200,PRUDHOE BAY UNIT F-01B,g10015_profile_interpolation_v1,depth_basis,2758.44,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
337,1740060,50029201330000,E BAY ST 1,g10015_profile_interpolation_v1,nearest_permafrost_control,627.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
337,1740060,50029201330000,E BAY ST 1,g10015_profile_interpolation_v1,depth_basis,3226.6128000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
165,1690640,50029200350000,PRUDHOE BAY UNIT TR PR 19-10-15,g10015_profile_interpolation_v1,nearest_permafrost_control,584.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
165,1690640,50029200350000,PRUDHOE BAY UNIT TR PR 19-10-15,g10015_profile_interpolation_v1,depth_basis,3008.376,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
2646,1850880,50029213440000,MILNE PT UNIT C-14,g10015_profile_interpolation_v1,nearest_permafrost_control,530.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
2646,1850880,50029213440000,MILNE PT UNIT C-14,g10015_profile_interpolation_v1,depth_basis,2226.8688,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
2647,2240150,50029213440100,MILNE PT UNIT C-14A,g10015_profile_interpolation_v1,nearest_permafrost_control,530.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
2647,2240150,50029213440100,MILNE PT UNIT C-14A,g10015_profile_interpolation_v1,depth_basis,2152.1928000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
160,1690530,50029200300000,SAG DELTA 31-10-16,g10015_profile_interpolation_v1,nearest_permafrost_control,605.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
160,1690530,50029200300000,SAG DELTA 31-10-16,g10015_profile_interpolation_v1,depth_basis,4229.7096,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
2671,1851030,50029213580000,MILNE PT UNIT C-15,g10015_profile_interpolation_v1,nearest_permafrost_control,530.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
2671,1851030,50029213580000,MILNE PT UNIT C-15,g10015_profile_interpolation_v1,depth_basis,2230.8312,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
2672,2160700,50029213580100,MILNE PT UNIT C-15A,g10015_profile_interpolation_v1,nearest_permafrost_control,530.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
2672,2160700,50029213580100,MILNE PT UNIT C-15A,g10015_profile_interpolation_v1,depth_basis,2819.4,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
5767,2021450,50029231040000,PRUDHOE BAY UNIT PSI-01,g10015_profile_interpolation_v1,nearest_permafrost_control,627.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
5767,2021450,50029231040000,PRUDHOE BAY UNIT PSI-01,g10015_profile_interpolation_v1,depth_basis,2640.4824000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
178,1691040,50029200470000,PRUDHOE BAY UNIT TR PR 33-12-13,g10015_profile_interpolation_v1,nearest_permafrost_control,662.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
178,1691040,50029200470000,PRUDHOE BAY UNIT TR PR 33-12-13,g10015_profile_interpolation_v1,depth_basis,2834.6400000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
461,1760170,50029201990000,HIGHLAND ST 1,g10015_profile_interpolation_v1,nearest_permafrost_control,577.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
461,1760170,50029201990000,HIGHLAND ST 1,g10015_profile_interpolation_v1,depth_basis,2880.36,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
1264,1810640,50029205940000,PRUDHOE BAY UNIT N-14,g10015_profile_interpolation_v1,nearest_permafrost_control,619.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
1264,1810640,50029205940000,PRUDHOE BAY UNIT N-14,g10015_profile_interpolation_v1,depth_basis,2875.1784,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
241,1700560,50029200840000,PRUDHOE BAY UNIT F-02,g10015_profile_interpolation_v1,nearest_permafrost_control,637.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
241,1700560,50029200840000,PRUDHOE BAY UNIT F-02,g10015_profile_interpolation_v1,depth_basis,2855.976,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
1266,2080800,50029205940200,PRUDHOE BAY UNIT N-14B,g10015_profile_interpolation_v1,nearest_permafrost_control,619.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
1266,2080800,50029205940200,PRUDHOE BAY UNIT N-14B,g10015_profile_interpolation_v1,depth_basis,2673.096,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
1265,1972110,50029205940100,PRUDHOE BAY UNIT N-14A,g10015_profile_interpolation_v1,nearest_permafrost_control,619.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
1265,1972110,50029205940100,PRUDHOE BAY UNIT N-14A,g10015_profile_interpolation_v1,depth_basis,2789.2248,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
197,1700080,50029200590000,PRUDHOE BAY UNIT B-01,g10015_profile_interpolation_v1,nearest_permafrost_control,649.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
197,1700080,50029200590000,PRUDHOE BAY UNIT B-01,g10015_profile_interpolation_v1,depth_basis,2813.9136000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
242,2050490,50029200840100,PRUDHOE BAY UNIT F-02A,g10015_profile_interpolation_v1,nearest_permafrost_control,637.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
242,2050490,50029200840100,PRUDHOE BAY UNIT F-02A,g10015_profile_interpolation_v1,depth_basis,2750.82,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
177,1690910,50029200469500,PUT RIV 20-10-15XX,g10015_profile_interpolation_v1,nearest_permafrost_control,584.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,missing_depth_or_permafrost_context,temperature_input_only_not_stability_result,not_calculated
177,1690910,50029200469500,PUT RIV 20-10-15XX,g10015_profile_interpolation_v1,depth_basis,,,blocked_missing_depth,False,0.0,blocked_missing_depth,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,missing_depth_or_permafrost_context,temperature_input_only_not_stability_result,not_calculated
130,1680970,50029200060000,PUT RIVER 1,g10015_profile_interpolation_v1,nearest_permafrost_control,619.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
130,1680970,50029200060000,PUT RIVER 1,g10015_profile_interpolation_v1,depth_basis,2816.3520000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
181,1691130,50029200490000,N PRUDHOE BAY ST 1,g10015_profile_interpolation_v1,nearest_permafrost_control,604.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
181,1691130,50029200490000,N PRUDHOE BAY ST 1,g10015_profile_interpolation_v1,depth_basis,2929.128,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
6373,2141270,50029235240000,PRUDHOE BAY UNIT N-28,g10015_profile_interpolation_v1,nearest_permafrost_control,619.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
6373,2141270,50029235240000,PRUDHOE BAY UNIT N-28,g10015_profile_interpolation_v1,depth_basis,2794.4064000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
6211,2071450,50029233750000,PRUDHOE BAY UN B-37,g10015_profile_interpolation_v1,nearest_permafrost_control,649.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
6211,2071450,50029233750000,PRUDHOE BAY UN B-37,g10015_profile_interpolation_v1,depth_basis,2778.5568000000003,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
176,1690840,50029200450000,PRUDHOE BAY UNIT 18-10-15,g10015_profile_interpolation_v1,nearest_permafrost_control,584.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
176,1690840,50029200450000,PRUDHOE BAY UNIT 18-10-15,g10015_profile_interpolation_v1,depth_basis,2808.4272,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
3724,1890150,50029219140000,MILNE PT UNIT C-20,g10015_profile_interpolation_v1,nearest_permafrost_control,530.0,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
3724,1890150,50029219140000,MILNE PT UNIT C-20,g10015_profile_interpolation_v1,depth_basis,2287.8288,,blocked_no_temperature_profile,False,0.0,blocked_no_temperature_profile,,,,,none,no_matching_g10015_profile_for_nearest_ggd223_code,needs_temperature_profile_match,temperature_input_only_not_stability_result,not_calculated
