screen_run_id,screen_version,object_id,permit_number,api_number,well_name,field,pool,lat,lon,tvd_m,depth_source,depth_basis_ft,depth_reference_note,hydrate_assessment_codes,within_hydrate_assessment_unit,permafrost_base_m,permafrost_source,permafrost_control_code,permafrost_control_distance_km,permafrost_confidence,temperature_model_id,temperature_source,temperature_profile_code,temperature_profile_file,temperature_profile_max_depth_m,temperature_gradient_c_per_100m,temperature_gradient_source,temperature_extrapolated_below_profile,temperature_extrapolation_below_profile_m,temperature_model_confidence,pressure_model_id,pressure_source,pore_fluid_density_kg_m3,gravity_m_s2,surface_pressure_mpa,pressure_gradient_mpa_per_m,pressure_at_tvd_mpa_absolute,phase_curve_id,phase_curve_role,phase_curve_allowed_use,phase_curve_source,gas_composition_assumption,gas_methane_mol_pct,gas_ethane_mol_pct,gas_propane_mol_pct,gas_butane_plus_mol_pct,salinity_ppt_assumption,phase_curve_status,stable_depth_grid_step_m,stability_top_m,stability_top_pressure_mpa_absolute,stability_top_temperature_c,stability_base_m,stability_base_pressure_mpa_absolute,stability_base_temperature_c,stability_thickness_m,well_penetrated_stability_thickness_m,reaches_stability_zone,top_boundary_method,base_boundary_method,stability_result_status,stability_confidence,caveat_codes,stability_notes
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,234,2061010,50029200800100,PRUDHOE BAY UNIT F-01A,PRUDHOE BAY,PRUDHOE OIL,70.33470459,-148.7671433,2757.2208,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201,True,637,GGD223 nearest point control,PBH,0.0078540779927271,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,27.14042435832,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,235,2130640,50029200800200,PRUDHOE BAY UNIT F-01B,PRUDHOE BAY,PRUDHOE OIL,70.33469757,-148.7671514,2758.44,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201,True,637,GGD223 nearest point control,PBH,0.0083703763068919,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,27.152380626,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,337,1740060,50029201330000,E BAY ST 1,PRUDHOE BAY,"PRUDHOE OIL, LISBURNE OIL",70.31059598,-148.31630151,3226.6128000000003,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201,True,627,GGD223 nearest point control,EBS,0.00853474167019,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,31.743587415120004,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,165,1690640,50029200350000,PRUDHOE BAY UNIT TR PR 19-10-15,PRUDHOE BAY,PRUDHOE OIL,70.21175713,-148.41259425,3008.376,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201,True,584,GGD223 nearest point control,PBC,0.0105548747413246,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,29.6034155004,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,2646,1850880,50029213440000,MILNE PT UNIT C-14,MILNE POINT,KUPARUK RIVER OIL,70.49017428,-149.52318948,2226.8688,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201; 50010202,True,530,GGD223 nearest point control,CN19,0.0198350028246432,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,21.939447917520003,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,2647,2240150,50029213440100,MILNE PT UNIT C-14A,MILNE POINT,KUPARUK RIVER OIL,70.49017428,-149.52318948,2152.1928000000003,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201; 50010202,True,530,GGD223 nearest point control,CN19,0.0198350028246432,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,21.207126522120003,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,160,1690530,50029200300000,SAG DELTA 31-10-16,PRUDHOE BAY,Unknown,70.18208844,-148.15848297,4229.7096,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201,True,605,GGD223 nearest point control,PBL,0.0220505929476848,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,41.58060664884,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,2671,1851030,50029213580000,MILNE PT UNIT C-15,MILNE POINT,KUPARUK RIVER OIL,70.48986302,-149.52289381,2230.8312,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201; 50010202,True,530,GGD223 nearest point control,CN19,0.022448421871108,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,21.97830578748,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,2672,2160700,50029213580100,MILNE PT UNIT C-15A,MILNE POINT,SAG RIVER OIL,70.48986028,-149.52289375,2819.4,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201; 50010202,True,530,GGD223 nearest point control,CN19,0.0226512996251666,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,27.75019401,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
stability_screen_2026_06_14_methane_5ppt_v1,2026-06-14.v1,5767,2021450,50029231040000,PRUDHOE BAY UNIT PSI-01,PRUDHOE BAY,PRUDHOE OIL,70.31074165,-148.31577307,2640.4824000000003,TrueVertic,,Public DNR depth field; TrueVertic preferred and DrillerTot fallback is caveated.,50010201,True,627,GGD223 nearest point control,EBS,0.0241482711486839,permafrost_point_control_only,g10015_profile_interpolation_v1,no_matching_g10015_profile_for_nearest_ggd223_code,,,,,deepest_window_g10015_inventory,False,0.0,blocked_missing_inputs,hydrostatic_freshwater_surface_absolute_v1,hydrostatic_assumption,1000.0,9.80665,0.101325,0.00980665,25.995611727960004,methane_5ppt_sir2008_csmhyd_digitized_v1,baseline,official_public_baseline,USGS SIR 2008-5175 Figure 1A digitized methane 5 ppt lookup,100_percent_methane,100.0,0.0,0.0,0.0,5.0,not_applied,,,,,,,,,,False,not_calculated,not_calculated,blocked_missing_temperature_profile,blocked_missing_inputs,hydrostatic_pressure_assumed;phase_curve_methane_5ppt;permafrost_point_control_only;om222_not_digitized;not_hydrate_proof;temperature_profile_missing,Blocked because the well lacks a matched G10015 temperature profile.
